NCBI Gene ID	PValue	log2FC
100002034	0.080449125	-0.215502406
100002045	0.444862922	-0.390234032
100002071	0.541078749	-0.40012208
100002104	0.874674664	-0.145699518
100002134	0.905800215	-0.046742695
100002173	0.871197006	-0.129546115
100002190	0.016531241	-0.520452981
100002200	0.774899995	-0.11918542
100002225	0.002524053	0.714441929
100002236	0.887992967	-0.026037624
100002263	0.050647157	0.250977707
100002270	0.923896839	0.095475579
100002293	0.982973186	0.010128643
100002312	0.936298029	-0.110924606
100002334	0.567722779	0.335745503
100002366	0.461458905	-0.24253018
100002391	0.001504381	-0.749948977
100002406	0.854254256	0.150987647
100002445	0.050229778	0.64032717
100002460	0.756745718	-0.09675755
100002496	0.629001526	0.533792047
100002528	0.942604316	-0.026715589
100002543	0.003965895	0.502800533
100002591	0.325821265	-0.726003791
100002625	0.001204208	-0.389787384
100002649	0.018336944	1.592996627
100002679	0.650540245	0.079477371
100002715	0.839110485	0.08124281
100002737	0.429294953	-0.176208185
100002785	0.065595836	0.537826252
100002802	0.989266218	0.004333583
100002821	0.350562558	1.12287976
100002866	1.0	0.755345404
100002878	0.044366837	0.924335751
100002907	0.014864579	1.767391722
100002923	0.766756274	0.283558493
100002946	0.203054182	0.831610662
100002967	0.60645226	0.2479261
100003020	0.308632288	0.362938527
100003031	0.228721821	1.458554834
100003066	0.696934466	0.224398615
100003100	4.31e-08	-1.38768174
100003132	0.607835094	-0.316452349
100003142	0.414103946	-0.177043136
100003182	0.294887972	0.193291635
100003220	0.044574387	0.771168647
100003245	0.00076464	1.152459192
100003277	0.41052404	-0.260403946
100003313	0.982023125	-0.008961686
100003333	0.830016914	0.030117489
100003353	0.894299898	0.030116837
100003383	0.695087931	0.125629326
100003412	0.79672914	0.104054723
100003436	0.057127344	0.34340841
100003476	0.920651504	0.044508288
100003514	0.095090537	0.537864586
100003534	0.388815789	-0.475239163
100003546	0.00218114	-0.617355131
100003562	0.525068944	-0.201258149
100003583	0.844374531	-0.076244807
100003595	0.164127637	-0.52644505
100003642	4.19e-05	1.848374319
100003661	0.354377209	-0.363791648
100003670	0.08892492	0.512976011
100003679	0.16773003	-0.227964174
100003699	0.311782075	0.266798182
100003721	0.487097275	0.135749811
100003744	0.780901978	0.05487938
100003763	0.159779653	-0.32856529
100003787	0.869163527	0.071514758
100003805	0.003416237	-0.979560132
100003846	0.8132436	-0.121858969
100003852	0.337045792	-0.906608201
100003877	0.000428616	-0.707190104
100003902	0.207395256	-0.30129874
100003913	0.142373773	-0.382527711
100003937	0.836809132	-0.075451173
100003956	0.462939226	0.206960056
100003975	0.545089774	0.127682969
100004011	0.889270679	0.211370423
100004030	0.205224385	-0.65771644
100004076	0.025792889	-0.857006622
100004095	0.719855881	0.533494453
100004136	0.922512023	-0.024644309
100004160	0.000171072	3.707447905
100004175	0.698941426	0.164678983
100004186	0.268460231	0.743251039
100004228	0.871952157	0.045695149
100004261	0.210954279	-0.273733892
100004296	0.065219329	-0.710459816
100004321	0.243510101	0.75257266
100004357	0.032632968	-0.832912784
100004395	0.0373902	3.606614108
100004411	0.213940128	-0.692283427
100004431	0.000614529	1.689309566
100004455	0.916848174	-0.062171256
100004462	0.50881463	-0.295973791
100004513	0.068284847	-1.280746262
100004536	0.178245236	-0.316916521
100004566	0.396906766	-0.116071081
100004590	0.618479102	0.167371893
100004610	0.745647896	-0.15265333
100004621	0.145377361	0.20609657
100004656	0.699715418	0.429586821
100004674	0.159539704	0.529717595
100004703	0.335870037	-0.193730639
100004736	0.669903058	-0.44931161
100004770	0.003154482	-0.509633713
100004847	0.930853973	-0.067748681
100004874	0.578838172	0.276882791
100004913	0.388815789	0.241696942
100004938	1.0	-0.477747468
100004946	0.950789669	-0.014933582
100004969	0.174398482	-0.34393514
100005000	8.3e-06	1.887925116
100005026	0.024671348	0.443361396
100005036	0.873639497	0.060592904
100005065	0.560780263	-0.601827467
100005083	0.002556779	0.841146998
100005106	0.171174498	0.318205709
100005116	0.212184633	0.21125645
100005148	0.461821793	-0.309604341
100005189	0.277516784	-0.160497384
100005214	0.120182531	-0.283681337
100005267	0.035746063	-0.346457435
100005295	0.781235998	-0.219339933
100005308	0.668059181	-0.551157274
100005359	0.355142823	0.607819416
100005375	0.441398128	0.692257904
100005403	0.262970755	-0.256254477
100005455	0.805296124	0.110322962
100005471	0.710703434	0.233174258
100005496	0.079055767	0.399021117
100005518	0.183923658	0.347733589
100005538	0.802945926	-0.098507806
100005564	0.943674585	0.072300281
100005569	0.354377209	0.240164591
100005593	0.257705875	0.433022637
100005623	0.481315465	0.144621842
100005670	0.147463146	-0.29945863
100005700	0.660756238	0.122234331
100005717	0.77290598	0.085636371
100005732	0.241574335	0.157355037
100005754	0.756180144	-0.351303269
100005797	0.557889053	0.152744266
100005846	0.201307268	-0.249726234
100005882	0.39106428	0.47871046
100005893	0.41823233	0.348206979
100005923	0.994462198	-0.003775111
100005939	0.901894212	-0.056258802
100005958	0.178672212	0.294547071
100005974	0.553722367	0.327783211
100006005	0.786520799	-0.067699246
100006039	0.023367548	-0.355990444
100006053	0.769164774	0.340716743
100006088	0.051323679	0.254503709
100006147	0.981373824	-0.017657545
100006181	0.276527661	-0.631003661
100006212	0.97692402	0.007714424
100006249	0.652933924	-0.148110836
100006263	0.043296241	0.947183539
100006303	0.723215905	-0.16418259
100006331	0.939052437	0.126250931
100006345	0.71737883	-0.121699482
100006371	0.514534898	0.185452775
100006399	0.887656974	0.030616566
100006442	0.005894848	-0.903967532
100006460	0.425220132	0.233768168
100006496	0.594641164	0.137015794
100006557	0.684493617	0.504800987
100006589	0.214481841	-0.444686312
100006612	0.720281509	-0.075790538
100006622	0.777732095	-0.045548995
100006649	0.604229787	-0.474495837
100006662	0.032651877	0.281220403
100006681	0.017065065	-0.543768989
100006754	0.187491954	0.235285784
100006777	0.814920532	-0.073029087
100006791	0.029996058	-0.800423431
100006839	0.265986534	-1.406193958
100006880	0.69651548	0.26110292
100006896	0.980061548	-0.041581341
100006952	0.930075669	0.054011928
100006986	0.00346094	1.714163129
100007048	0.155168207	-0.343594728
100007192	0.004669792	0.772879578
100007304	0.000267436	1.198135119
100007321	0.050395126	-0.296101824
100007346	0.053174515	0.141805454
100007394	0.045602134	-0.31699013
100007462	0.626484356	-0.657822942
100007472	0.022588611	-0.515952941
100007493	0.511154576	0.223338402
100007523	0.97642559	0.044880969
100007591	0.267211014	1.424485088
100007635	0.930479795	-0.049890456
100007661	0.898724942	0.05166623
100007677	0.019121584	1.168706485
100007686	0.871467559	0.071589035
100007727	0.09079088	1.128807483
100007758	0.019543497	0.532794079
100007788	0.035420609	0.468968425
100007819	1.0	-1.322512665
100007883	0.582160889	-0.586794776
100007935	0.924904267	0.070001643
100007963	0.593611215	0.269285001
100008030	0.951139931	0.046933417
100008070	0.62886548	-0.131823904
100008368	0.068924185	-0.600932071
100008568	0.094936853	0.396744078
100009622	0.147926908	-0.430061305
100009630	0.178672506	-0.41467401
100009638	0.972876799	0.078737992
100009643	0.715639892	-0.34184147
100009648	0.547834226	0.178020813
100009654	0.657843926	0.231675599
100009658	0.359676839	-0.381429615
100033386	0.942116872	0.064718974
100033545	0.278732284	1.135761464
100033553	0.14808502	-0.59949664
100033614	0.060074313	0.810738537
100033632	0.105981651	-1.240647547
100033640	0.938380688	-0.070010311
100033655	0.20922182	-0.941698199
100033696	0.051596267	0.944548147
100033769	0.908533988	0.134862034
100033774	0.270680154	0.495735845
100034386	0.075761197	-0.498021718
100034402	0.545430706	-0.197586644
100034411	0.881574748	-0.189868578
100034426	0.836086347	0.062235326
100034434	0.773369733	-0.047780704
100034454	0.002207258	0.987470244
100034463	0.186305139	-0.692819806
100034473	0.798575074	-0.065652836
100034485	0.385850826	0.249262482
100034491	0.19315891	0.586288089
100034507	0.008696749	0.846836336
100034520	0.463238928	0.114852935
100034531	0.045419276	0.629551262
100034540	0.993865545	-0.004504995
100034563	0.394602855	-0.619538685
100034578	0.490215429	0.236495032
100034589	0.986395005	0.012879997
100034619	0.682163773	-0.174973993
100034631	0.239345287	-0.237518901
100034647	0.000184761	-1.172924734
100036547	0.159791562	-0.372065001
100037309	0.231026773	-0.279687865
100037315	0.011306324	-1.16371318
100037319	0.174961849	0.588785509
100037329	0.251959224	1.011177149
100037333	0.699715418	0.122835974
100037341	0.274368648	-0.477965551
100037350	0.744437425	-0.092060523
100037356	0.097367259	-0.44596621
100037361	0.012420745	2.344966827
100037367	0.029039168	0.263366806
100037372	0.396499188	-0.108737753
100037380	0.249697525	-0.372592741
100037385	0.726702097	-0.154312597
100037390	0.320701088	-0.715395228
100038767	0.082192205	-0.451777082
100038773	0.35187458	-0.133219373
100038778	0.015192994	-0.705890271
100038786	0.003009192	0.422309912
100038790	0.022739461	0.611835997
100038799	0.533864327	0.777865044
100048921	3.88e-08	1.157731887
100049706	0.712592949	-0.343439416
100073329	0.889329297	0.046209452
100073333	0.769083003	0.177350148
100073340	0.864217302	0.139435291
100073344	0.047740098	-0.499945344
100093704	0.884464795	-0.042465499
100093710	0.665918092	-0.098882533
100101464	0.634490492	-0.530462207
100101641	0.004338594	0.371236628
100101646	0.759933335	0.148151873
100124531	0.108684114	0.577564649
100124599	0.137791946	-0.336202706
100124609	0.040188083	0.782742435
100124614	0.368286938	0.21974228
100125749	0.027287629	0.828013636
100126016	0.98115673	-0.003861997
100126022	0.312468786	-0.584380481
100126028	0.469294001	0.111719092
100126104	0.758004878	-0.266970766
100126110	0.83559521	-0.264197192
100126120	0.840985049	-0.108065445
100126128	0.26293341	-0.583749622
100126133	0.934019854	-0.015992543
100126139	0.072358835	0.751781328
100126805	0.081636023	0.512213687
100126810	0.222588379	0.562437447
100134971	0.661622762	-0.310627154
100134976	0.56800821	0.296780857
100135755	0.024378447	0.477326242
100136840	0.427165989	0.295500693
100136846	0.366105929	0.309663481
100136851	0.818626397	0.243745802
100136855	0.000223652	-0.364548634
100136859	0.000678297	-0.57194503
100136865	0.000616076	-0.972432103
100136871	0.759501781	-0.153250087
100137104	0.160230098	-0.624062954
100137117	0.294916739	0.556766658
100137123	0.484654602	-0.229969924
100137609	0.736368607	-0.28892469
100141328	0.435701365	-0.371627553
100141333	0.634046952	0.106339211
100141342	0.396256912	-0.889839143
100141348	0.513468896	0.209419291
100141353	0.79038826	0.158708906
100141360	0.716584884	-0.062380109
100141368	0.00437474	-0.901645812
100141490	0.008236426	0.687661009
100141499	0.903065202	-0.131271462
100142642	0.456632491	-0.448526662
100142648	0.704410696	-0.139427792
100142653	0.924430198	0.040602226
100144400	0.036579549	0.662307381
100144408	0.336989284	-0.316854717
100144553	0.210215338	0.288962709
100144557	0.608735881	0.33459038
100144561	0.892367301	-0.070781337
100144566	0.142546812	1.158143363
100144628	0.018191609	-0.381798181
100147776	0.00089078	0.77392379
100147862	0.157622745	0.356821895
100147904	0.780116989	-0.312324578
100147927	0.531654327	0.577797684
100148002	0.052780013	0.524123596
100148041	0.012497328	0.700832407
100148061	0.636148302	-0.089625394
100148088	0.078557788	-0.504986546
100148175	4.05e-06	1.20275119
100148254	0.851562872	-0.237481635
100148286	0.794830085	-0.288564123
100148296	0.598801979	0.27027374
100148329	0.002978854	0.737380855
100148360	0.070502287	0.313969326
100148413	0.299688248	0.217884898
100148465	0.271327864	-0.494001387
100148497	0.01476543	1.273067834
100148532	0.494901205	-0.301154711
100148564	0.944531379	-0.071760907
100148604	0.424683992	-0.149022101
100148648	1.0	-0.027039971
100148686	0.986395005	0.005615888
100148736	0.899424104	-0.017010872
100148752	0.664819032	-0.236022743
100148804	0.974963401	-0.014414315
100148840	0.079831334	-0.486747365
100148873	0.299688248	-0.368055528
100148903	0.252001673	0.236802541
100148916	0.163722292	0.609700595
100148935	0.055621561	-0.424551881
100148976	0.412768803	0.757438533
100149028	0.0019854	0.318209632
100149066	0.006770057	0.994427612
100149084	0.000132246	1.48991245
100149104	0.140231756	0.748099993
100149148	0.573017792	-0.204047289
100149189	0.509452968	-0.13171071
100149241	0.351823194	0.746419795
100149283	0.73999003	0.082970054
100149322	5.64e-06	0.538114006
100149353	0.035669917	0.366979463
100149390	0.865469302	-0.111014857
100149419	0.873639497	0.059419414
100149441	0.520309887	0.368312028
100149482	0.001753949	0.818693995
100149522	0.423284268	-0.156534142
100149554	0.568729721	0.206732402
100149562	0.175273563	0.259393534
100149596	0.923642495	0.107793374
100149635	0.533864327	0.678900735
100149664	0.6657291	-0.133779074
100149692	0.865691032	0.074014824
100149745	0.964403006	0.023501455
100149766	0.896050154	-0.048372498
100149820	0.119817155	-1.454977962
100149852	0.993992475	0.001714404
100149889	0.366341823	-0.45461247
100149910	0.126367884	-0.905612256
100149942	0.021926921	-0.326377483
100149980	0.870906215	0.099889824
100150005	1.0	-0.113878371
100150035	0.631056789	-0.129022629
100150056	0.806349231	-0.38956954
100150068	5.42e-06	2.183693156
100150128	0.593991931	0.154030936
100150156	0.018200793	0.380210951
100150205	0.202665409	-1.070208415
100150225	0.053178717	-1.988479945
100150256	0.005418488	-0.837427284
100150288	0.395295271	0.195493314
100150342	0.278473072	-0.271369136
100150385	0.840911468	0.15435203
100150452	0.141709573	-0.196417007
100150488	0.054755513	1.159500436
100150565	0.609675752	0.43378833
100150608	1.0	-0.287774237
100150665	0.638536186	0.156951927
100150676	0.217512729	-0.251462721
100150696	0.122063372	0.218872528
100150713	1.0	1.480944469
100150771	1.0	-0.525405493
100150814	0.355958831	-0.233424811
100150876	0.37668165	0.654927077
100150909	0.417710222	-0.617094801
100150939	0.004516387	-0.464636476
100150992	0.988223044	0.006065581
100151028	0.692486473	0.403782085
100151049	0.414090775	0.32983472
100151078	0.910163737	-0.183249018
100151141	0.636558404	-0.06129071
100151157	0.282902094	-0.276264599
100151174	0.059385522	0.400194915
100151196	0.332545859	-0.405954059
100151239	0.948962275	-0.02663962
100151287	0.462668517	-0.283964824
100151335	0.258058142	0.81163372
100151368	0.881256283	0.061973262
100151460	0.53150374	0.348588398
100151486	0.710522159	-0.554955098
100151502	0.168179714	0.661647725
100151531	0.916678364	0.056437163
100151593	0.004516387	0.548235203
100151626	0.320491791	-0.235055281
100151758	0.195355203	-0.281780857
100151764	0.334176781	1.499574059
100170782	0.229186279	0.236409698
100170791	0.65219192	-0.243676298
100170796	0.079282359	0.658353158
100170804	0.282505765	0.676176623
100170813	0.00218983	0.755407629
100170821	0.087698101	0.779837501
100170826	0.003818409	0.758712407
100170831	0.950025669	0.0261078
100170938	0.723605554	0.075327617
100189619	0.973503941	-0.051584717
100190951	0.274861541	0.498423981
100192208	0.449572749	-0.322977447
100192219	0.734610475	-0.19878775
100216326	0.560348921	-0.135510774
100270672	0.245385694	0.865995707
100270739	0.167108598	-0.414840466
100272161	0.7907155	0.216774065
100294690	0.014237598	-0.487052845
100301982	0.99079726	-0.004615838
100302471	0.464087926	0.891522625
100307075	0.642584437	-0.153411294
100307098	8.97e-07	1.232634423
100310764	0.399247937	0.667378742
100317029	0.175556179	0.401929664
100317168	0.477813715	0.195104565
100317496	0.009153595	0.519113077
100317899	0.388815789	0.266660778
100318080	0.057515548	0.197614694
100318317	0.085586975	-0.300476144
100318549	0.19061172	1.151015899
100318899	0.753942604	0.052958573
100319235	0.420716879	0.273331947
100319971	0.960562351	-0.014192415
100320270	0.004956936	0.63632022
100320357	0.509452968	0.212325734
100320541	0.714798473	0.06463237
100320914	1.0	0.860806142
100321084	1.0	-0.342729137
100321139	0.588047436	0.25334885
100321314	0.594161982	0.565640893
100321606	0.7189983	0.502028842
100321746	0.618252643	0.280107523
100321914	0.12865182	0.322092958
100322075	0.844039033	-0.160240614
100322372	0.095514495	-0.584438679
100329124	0.618324326	0.215770274
100329252	0.05619543	1.531283345
100329265	0.061770498	-0.865283215
100329282	0.674327825	0.086126903
100329298	0.222798201	0.316444253
100329328	0.035029566	0.608179913
100329340	0.094928573	-0.808055757
100329380	0.024265265	-0.493399771
100329397	0.118395838	0.250293147
100329446	0.445670546	0.368952386
100329462	0.920581733	-0.103356934
100329480	0.859147813	-0.105564762
100329491	0.074674811	-0.628398504
100329505	0.673021649	0.084070809
100329528	0.678456743	-0.36848828
100329563	0.045860168	0.8902279
100329592	0.484904114	-0.709594832
100329632	0.214995202	0.369149708
100329657	0.444160441	-0.414626781
100329707	0.134016804	0.159908036
100329726	0.577735056	-0.520527509
100329773	0.015388236	-0.858798033
100329789	0.711034881	0.110900277
100329809	0.730233167	-0.340819063
100329836	0.669281045	-0.448379213
100329854	0.498167255	0.306387613
100329879	0.768548691	0.090853726
100329897	0.612439716	-0.093827036
100329944	0.1160322	-0.271785696
100329975	0.00219599	-0.840765474
100330007	0.56543079	-0.526802779
100330028	0.604229787	0.378838582
100330069	0.02771248	0.699116528
100330109	0.045933671	0.682383526
100330155	0.202021414	0.263530693
100330171	0.267108651	0.44650503
100330186	0.754446452	-0.065068143
100330212	0.307857382	-0.24456893
100330243	0.044523614	-0.314559722
100330260	0.933292702	-0.091158847
100330288	0.024814639	-0.783585656
100330305	0.000567045	-0.824620102
100330321	0.878301731	0.071692349
100330348	0.37334061	1.414641579
100330358	0.411323369	0.156850045
100330395	0.966311603	-0.020030625
100330433	0.029996058	0.302691207
100330448	0.0010395	-0.484458254
100330495	0.875009237	-0.038002787
100330508	0.842871909	0.032433094
100330523	0.960616338	-0.018821587
100330539	0.853787904	-0.029547225
100330565	0.295375542	-0.808841663
100330581	0.460696514	-0.182124395
100330638	0.320710078	0.345943524
100330653	0.226214809	-0.561937885
100330672	0.56538553	-0.39714581
100330690	0.125465872	-1.4218517
100330721	0.034335308	-0.379646735
100330743	0.57540242	-0.624666256
100330772	0.040408584	-0.50089448
100330797	0.004938101	-0.818909497
100330817	0.481441669	-0.244067978
100330841	0.000597084	2.026918097
100330875	0.734243535	-0.12241548
100330897	0.136101891	0.569603883
100330919	1.0	-0.654150607
100330943	0.716557049	0.086017783
100330953	0.372618451	0.230665163
100330978	0.257065896	-0.220749921
100331020	0.53995533	0.162956994
100331050	0.041009318	-1.677890008
100331092	0.759547828	0.271778003
100331116	0.89752839	0.152603058
100331141	0.722636495	0.138485422
100331166	0.003176296	0.874314723
100331186	0.133500016	0.327025245
100331208	0.063141049	1.643758475
100331225	0.462170547	0.156578209
100331252	0.498050902	0.44252073
100331268	0.018122657	-1.034936266
100331283	0.044671408	-0.311012762
100331307	0.182592315	0.645712906
100331330	0.140633681	-0.792731416
100331355	0.018887384	0.647289202
100331377	0.954088712	0.045799199
100331388	0.278099872	-0.297788638
100331400	0.353073235	-1.344167631
100331431	0.027655668	-0.246240991
100331456	0.851836432	-0.027876814
100331471	0.049985453	-0.384358735
100331498	0.686240935	0.124116646
100331508	0.053902282	2.589758633
100331538	1.0	-0.068911581
100331561	0.986716245	-0.00679937
100331576	0.335725668	0.508552542
100331601	0.754190323	-0.15867352
100331646	0.004841731	0.468948441
100331676	0.618479102	0.447230948
100331698	0.11575929	-0.731979423
100331729	0.002793939	-0.623235346
100331748	0.775689889	-0.151293463
100331788	0.797953146	0.098501417
100331815	0.306071114	-1.205139926
100331874	0.022263841	0.248555749
100331902	0.133191941	0.295734028
100331919	0.597202725	0.107171623
100331959	0.143491385	-0.406013774
100331980	0.79777046	0.114704796
100331996	0.868762056	-0.269250604
100332028	0.129814469	1.070820701
100332039	0.602265476	-0.121555024
100332055	0.154710611	0.647414155
100332077	0.085730441	0.583662888
100332110	0.44162157	0.306070188
100332120	0.001596137	1.461311813
100332150	0.079059827	1.490180182
100332167	0.785900298	0.14079742
100332177	0.178511299	-0.289440949
100332196	0.159792987	0.950687046
100332207	0.230448008	0.285591301
100332237	0.945611702	0.017909387
100332245	0.002275587	-0.57606872
100332262	0.211838224	-0.187233853
100332270	0.685691698	0.177412683
100332314	0.000120077	0.713550578
100332329	0.174928575	-0.138352497
100332340	0.257315434	0.465511525
100332369	0.470946158	-0.173648947
100332392	9.95e-05	0.76941712
100332402	0.422099463	-0.138816827
100332426	0.00276855	1.101489672
100332440	0.003590499	0.525409934
100332460	0.1057022	0.223243877
100332515	0.778087443	0.10403704
100332538	0.606215083	-0.178908587
100332559	0.237762187	0.135357056
100332572	0.515027012	-0.540344812
100332583	0.210731012	-0.909874953
100332608	0.906527929	0.062128133
100332617	0.000344916	0.467168323
100332644	0.627815934	0.133106511
100332682	0.191538724	-0.307441322
100332714	0.629161975	-0.194913304
100332745	0.932009684	-0.111447449
100332761	0.29999955	-1.222910613
100332786	1.0	-0.974838134
100332815	0.808845413	0.37460885
100332846	0.03390896	-0.58593526
100332862	0.14261082	-0.260028113
100332901	0.716140034	0.448005732
100332911	0.848895317	0.028302834
100332937	0.038619112	0.384729743
100332968	0.729454417	0.1170633
100332997	0.038587496	-0.560421219
100333012	0.009153595	-0.431344839
100333021	0.92087543	-0.075434387
100333043	0.001253782	1.516079148
100333057	0.902305882	0.033260023
100333064	0.382858669	0.382714279
100333097	0.241681015	-0.142480294
100333114	0.000810427	1.118787119
100333125	0.581376937	0.140323318
100333141	0.380096648	0.296028086
100333154	0.050372876	-0.687361801
100333185	0.102178244	0.36091163
100333211	0.512240479	-0.098804978
100333228	0.335837997	-0.599284574
100333245	0.835122879	-0.125313156
100333266	0.879244673	0.10202842
100333283	0.784651821	-0.128690412
100333297	0.107859021	-0.224968716
100333322	0.814737874	-0.173535949
100333351	0.700684482	0.431257022
100333378	0.703786269	0.164141135
100333406	0.408899822	0.309930942
100333424	0.933507943	-0.041061336
100333462	0.110251308	-0.631174643
100333496	0.946577141	0.145037316
100333521	0.020132922	-0.636195784
100333552	0.023437266	1.265376489
100333571	0.033351637	0.266907422
100333587	0.954079052	-0.02076789
100333618	0.001693172	1.121468683
100333644	0.039033017	0.810692401
100333660	0.263203387	-0.656095574
100333689	0.365143042	-0.665078852
100333702	0.487097275	0.09843123
100333716	0.676275507	0.109190396
100333734	0.893464247	-0.063646314
100333757	0.603707065	0.24640641
100333777	0.49190797	-0.445550188
100333807	0.909850368	0.108956483
100333826	0.84481221	-0.075344615
100333843	0.676300027	0.472172659
100333859	0.620906853	-0.572425705
100333881	0.009553301	0.481272373
100333903	0.129165947	-0.30825849
100333916	0.004140455	-0.535190352
100333933	0.136208296	0.355239464
100333944	0.640363058	-0.224033351
100333967	0.154996738	0.583721756
100333975	0.607484046	-0.382285186
100333998	0.008056649	1.283556221
100334018	0.780045174	-0.083197087
100334029	0.7460768	-0.456886124
100334085	0.067499074	-0.357977485
100334116	0.055392248	0.597471533
100334148	0.231539969	0.46824889
100334171	0.862968612	-0.119417735
100334188	0.900608931	0.073899997
100334206	0.337045792	-0.209881435
100334221	0.805830202	0.157956069
100334245	0.002416141	1.4075028
100334257	0.005618979	-0.946469061
100334269	0.159358916	-0.813098778
100334281	0.703689027	0.271122067
100334300	0.430768319	-0.429061068
100334340	0.082192205	1.442094928
100334361	0.447221215	-0.175196353
100334375	0.020653693	0.516024347
100334396	0.047789959	-1.110503303
100334422	1.0	-0.073377394
100334453	0.757859157	0.137013633
100334480	0.988223044	-0.00683005
100334495	0.080431559	1.204889592
100334518	0.326336084	-0.509063727
100334559	0.552978117	-0.656050072
100334579	1.0	0.226570838
100334605	0.19854903	-0.284436768
100334619	0.463235713	0.146501996
100334642	0.474064887	-0.242563463
100334661	0.819048742	-0.079573645
100334689	0.062334605	0.741332775
100334705	0.941720532	-0.093739761
100334727	0.574516314	-0.451259806
100334731	0.067500569	-0.308979106
100334756	0.062878636	0.314038208
100334776	0.000628206	-0.772290383
100334794	0.207203398	-0.535817849
100334815	0.991028416	0.012646483
100334830	0.47272496	0.187573565
100334848	0.269262619	-0.32853174
100334869	0.491021031	0.413101459
100334879	3.64e-06	1.303126551
100334893	0.692798315	-0.090376271
100334923	0.973598384	-0.033538997
100334933	1.0	1.712047791
100334953	0.956450503	0.017111977
100334962	0.56088815	0.401110367
100334992	0.7147966	-0.173299886
100359398	0.002487236	-0.682500654
100415794	0.26218279	0.85784952
100422734	0.221585814	0.186177582
100463515	0.377910762	-0.237810029
100498669	0.462611813	0.320673331
100499533	0.57872179	0.116241506
100526652	0.164266322	-0.163181405
100526688	0.591532446	-0.133743205
100529086	0.151419741	0.318877065
100533983	0.203594765	-0.24460861
100534672	0.598569728	0.336625335
100534694	1.0	2.297609843
100534715	0.175277467	0.668270223
100534733	0.909032787	-0.062196372
100534752	0.890790023	-0.059397028
100534765	0.3794527	0.792694186
100534776	0.951690395	0.079304905
100534787	0.406561446	0.647369525
100534809	0.880838993	0.163909458
100534832	0.052004779	-0.436556334
100534853	0.253812304	0.394748323
100534884	0.566610399	0.146094268
100534908	0.557808149	0.32469142
100534921	0.170873343	0.491636087
100534940	0.45001337	0.460185577
100534965	0.009507093	0.601570865
100534988	0.288241322	0.914851139
100535009	0.579908105	-0.294894268
100535048	0.481409109	0.197699966
100535067	0.851373991	-0.058363203
100535087	0.760757742	-0.142032763
100535105	0.003937635	-0.313254534
100535123	0.069437661	-1.374875377
100535146	0.840363011	0.198614794
100535160	1.0	0.248496613
100535184	0.689198423	0.241292919
100535203	0.708118147	-0.229455311
100535231	0.050560096	-0.214708049
100535246	0.027363096	1.206442751
100535304	0.932264894	-0.059288371
100535316	0.560607004	0.454811041
100535350	0.285624503	-0.195235929
100535364	0.286017228	0.572298203
100535386	0.037801387	0.921655834
100535410	0.082987651	-1.475855211
100535423	0.323745588	0.886945614
100535451	2e-05	-0.571284382
100535460	0.309606934	-0.232770225
100535472	0.017680551	0.53850333
100535492	0.47734435	-0.43844924
100535504	0.902266461	-0.035914834
